name,lat,lon,depth,mag
23400,40.819,14.157,-2850.0,1.96
23406,40.816002,14.1588,-2740.0,1.43
23410,40.816502,14.1552,-2740.0,1.27
23411,40.835499,14.1203,-1840.0,1.89
23417,40.8228,14.1168,-2540.0,1.01
23479,40.814999,14.0883,-3630.0,1.21
23481,40.814201,14.1033,-2960.0,1.01
23539,40.763,14.0498,-2840.0,1.43
23542,40.831501,14.1448,-1620.0,1.21
23675,40.8228,14.1247,-2360.0,1.48
23683,40.821201,14.1368,-940.0,1.21
23691,40.826,14.139,-870.0,1.01
23694,40.820301,14.1343,-1260.0,1.08
23695,40.820301,14.1338,-1240.0,1.01
23716,40.831799,14.1247,-2460.0,2.6
23717,40.833698,14.1203,-2420.0,1.66
23718,40.836498,14.1222,-2580.0,2.06
23736,40.8232,14.1352,-610.0,1.86
23751,40.825699,14.1338,-810.0,1.27
23759,40.806499,14.1408,-3500.0,1.78
23868,40.830299,14.1178,-2760.0,1.08
23869,40.831799,14.1155,-1960.0,1.82
23877,40.831501,14.1318,-2390.0,1.27
23891,40.830799,14.1455,-1550.0,1.01
23893,40.827702,14.1402,-2250.0,2.2
23904,40.8358,14.1402,-2770.0,2.83
23907,40.831501,14.1385,-1850.0,1.43
23917,40.826698,14.1145,-2520.0,1.01
23979,40.801701,14.1095,-4480.0,1.75
24003,40.833,14.1483,-1600.0,1.66
24005,40.831299,14.148,-1600.0,1.43
24020,40.830799,14.1177,-2270.0,1.43
24146,40.828701,14.1477,-2110.0,2.59
24154,40.828999,14.1413,-1000.0,1.15
24167,40.827301,14.142,-1080.0,1.58
24170,40.825802,14.1487,-910.0,1.33
24234,40.824501,14.1423,-950.0,1.01
24192,40.823502,14.1327,-1830.0,1.15
24193,40.823002,14.1313,-1630.0,1.08
24281,40.8283,14.1307,-2130.0,2.2
24291,40.84,14.1215,-1310.0,1.66
24293,40.8382,14.1227,-2180.0,1.43
24294,40.831501,14.1133,-1850.0,1.33
24295,40.826199,14.1407,-1070.0,1.43
24327,40.826302,14.1365,-2270.0,1.78
24326,40.827499,14.1347,-1970.0,1.27
24433,40.7798,14.0907,-2560.0,1.66
24479,40.835701,14.1417,-2580.0,2.92
24606,40.807499,14.1027,-4230.0,1.43
24612,40.835499,14.1387,-1430.0,1.01
24623,40.831299,14.1473,-1920.0,1.53
24628,40.818001,14.162,-2840.0,1.21
24641,40.813301,14.157,-2810.0,1.66
24642,40.814301,14.1542,-2860.0,1.53
24643,40.8148,14.1553,-2590.0,1.15
24645,40.814999,14.1563,-2750.0,2.63
24688,40.814499,14.1542,-2360.0,2.71
24647,40.807701,14.11,-4490.0,1.86
24648,40.817001,14.1562,-2740.0,1.43
24658,40.8302,14.1487,-1610.0,1.15
24788,40.805,14.1162,-4050.0,2.17
24791,40.803501,14.1082,-4860.0,1.96
24789,40.804199,14.115,-4530.0,2.2
24790,40.8097,14.1203,-3500.0,1.78
24803,40.799999,14.1052,-2990.0,1.01
24804,40.827,14.1427,-2150.0,1.01
24812,40.827499,14.1383,-2230.0,1.15
24813,40.8265,14.1402,-2410.0,1.21
24828,40.834499,14.1103,-3140.0,2.17
24839,40.827702,14.0863,-2900.0,1.78
24849,40.819801,14.1427,-400.0,1.33
24863,40.82,14.1463,-110.0,1.99
24873,40.822701,14.1423,-1070.0,1.01
24978,40.828201,14.1545,-2030.0,1.01
24979,40.8302,14.1517,-2400.0,2.31
24981,40.8297,14.1517,-2360.0,1.93
25004,40.814499,14.0942,-3480.0,1.21
25018,40.8363,14.134,-2520.0,1.01
25020,40.8335,14.1135,-2040.0,1.27
25116,40.806499,14.1432,-2790.0,1.08
25154,40.834702,14.1427,-2540.0,1.01
25156,40.807701,14.1015,-4550.0,1.71
25167,40.824001,14.132,-1160.0,1.58
25193,40.826199,14.1382,-830.0,1.21
25202,40.827702,14.1402,-2650.0,3.48
25204,40.828701,14.1412,-1940.0,1.15
25214,40.824799,14.1377,-2350.0,2.69
25228,40.8237,14.1365,-1630.0,1.43
25215,40.824001,14.1347,-1550.0,1.71
25216,40.823502,14.1352,-1810.0,1.48
25360,40.820999,14.1383,-790.0,1.27
25388,40.819302,14.0857,-3170.0,1.75
25491,40.826698,14.1378,-660.0,1.08
25495,40.8228,14.1283,-2640.0,1.66
25514,40.807201,14.1037,-2960.0,1.78
25593,40.824699,14.1277,-2470.0,1.96
25656,40.800201,14.1093,-2550.0,1.21
25669,40.825699,14.1135,-2620.0,1.71
25670,40.824299,14.1158,-2610.0,1.43
25684,40.840302,14.1202,-2940.0,1.82
25718,40.833302,14.1222,-2620.0,1.21
25721,40.828499,14.137,-2190.0,1.71
25723,40.827202,14.1328,-2000.0,1.38
25736,40.8312,14.1272,-2570.0,1.01
25763,40.832802,14.145,-2120.0,1.53
25913,40.827202,14.1423,-2210.0,2.47
25914,40.830502,14.14,-2270.0,1.78
25944,40.804001,14.1218,-3860.0,1.66
26045,40.827702,14.148,-1290.0,1.01
